persuade |  v. 说服 vt. 劝说,说服
booklet |  n. 小册子
booth |  n. 电话亭,货摊,小间
cement |  n. 水泥,纽带,接合剂,牙骨质,补牙物,基石 // vt. 接合,用水泥涂 // vi. 接合起来
chic |  n. 别致的款式, 流行样式, 时尚 // adj. 别致的
cloakroom |  n. 衣帽间，休息室，&lt;英&gt;盥洗室
colonnade |  n. 柱廊，列柱
commentary |  n. 实况报道，现场解说,评论,注释，批评
commentate |  vi. 作实况报道,评述
compile |  v. 编译,编辑,编纂 // [计算机] 编译
culminate |  v. 达到顶点或高潮, 以...告终 // vi. 达到顶点 // vt. 使达高潮, 使结束
devour |  vt. 吞食,耗尽,吞没,贪婪的享用
dilapidated |  adj. 毁坏的, 荒废的, 要塌似的 // 动词dilapidate的过去式和过去分词
drainage |  n. 排水；排水系统；污水；排水面积
eminent |  adj. 著名的, 卓越的
evict |  v.驱逐 // v.依法收回（财产等）
excerpt |  n. 摘录 // v. 摘录,摘要 // vt. 摘,引用
explanatory |  adj. 说明的, 解释的
fidelity |  n. 忠实,忠诚，准确性
finale |  n. 结局,终了,最后的一个乐章
flagstone |  n. 石板
fortify |  vt. 强化，增强，筑防御工事于，（物质或精神上）支持或鼓励 // vi. 构建防御工事
frock |  n. 罩袍, 僧衣，女上装 // vt. 穿罩衫，授以神职
funnel |  n. 漏斗；烟囱 // vt. 通过漏斗或烟囱等；使成漏斗形 // vi. 通过漏斗等；成漏斗形
grate |  vt.磨碎，压碎； 装格栅 // vi.发出刺耳的摩擦声； 使人烦恼难受 // n.炉格，炉箅； 刺耳的声音
gymnasium |  n. 体育馆, 健身房 // n.（德国等培养学生升入大学的）大学预科，高级中学 // (复数）gymnasia或gymnasiums
leaflet |  n. 小叶,传单 // vt.& vi. 散发传单
masquerade |  n. 化妆舞会 // v. 化装
mime |  n. 哑剧, 哑剧演员，滑稽演员，模仿 // vt. 出演滑稽戏，做哑剧表演，模仿，模拟 // vi. 演出哑剧角色
occupant |  n. 占有者, 拥有者，占领者，居住者
periodical |  n. 期刊 // adj. 周期的, 定期的
phony |  adj. 假的, 伪造的，欺骗的 // n.假货，赝品，骗子 // suf. 表声音
placard |  n. 招贴, 布告 // vt. 张贴布告
postscript |  n. 附笔
quaint |  adj. 古雅的, 离奇有趣的, 奇怪的
recreation |  n. 消遣, 娱乐
remainder |  n. 剩余物, 其他的人, 残余 vt. 廉价出售 adj. 剩余的
affiliate |  n. 联号(联播台,同伙),附属机构,分公司 // vt. &vi. 合并(使...加入,追源)
shanty |  n. 简陋小屋，(水手唱的)劳动号子 // =chantey，chanty
slate |  n.板岩,石板,石片,石板色,候选人名单 // adj. 暗蓝灰色的,含板岩的 // vt. 用石板覆盖,痛打,提名,预订
stadium |  n. 露天体育场,竞技场
storey |  n. 楼层 // =story（美）
subscribe |  vt. 签名,签署,支持 // vi. 签名,签署,定期捐赠,订阅
symmetry |  n. 对称(性), 匀称, 整齐
telex |  n. 电传 // vt. 发电传
tenancy |  n. 租用，占有，租期，租用权
terminate |  adj. 有结尾的,有限的 // vt. 结束,终止,满期 // vi. 达到终点
tournament |  n. 比赛,锦标赛,(中世纪的)骑士比武
trapeze |  n. &lt;体&gt;  吊杠（杂技演员和体操运动员用的
ventilate |  vt. 使...空气流通，通风
versus |  prep. 对；与...相对；对抗
voucher |  n. 证人,保证人, 代金券 // vt. 证明, 为...准备凭据, 发给...凭证
wrestle |  v. 摔角, 斗争，用力举起 // n. 摔角, 角力, 扭斗
expand |  vt. 增加,详述,扩展,使...膨胀 // vi. 扩展,增加,详述
express |  n. 快车, 快递, 专使 // adj. 急速的, 明确的, 直接的 // adv. 用快递; 特意地 // vt. 表达, 表示; 挤压出; 快递
forbid |  vt. 禁止,妨碍, 阻止
foster |  adj. 收养的,养育的 // v. 养育,抚育,培养 // n. (Foster)人名；(英、捷、意、葡、法、德、俄、西)福斯特
gain |  n. 增益, 获得, 利润 // vt. 得到, 增进, 获利 // vi. 增加, 得到, (钟, 表等)走得快
interrupt |  n. 中断 // vt. 打断,妨碍 // vi. 插嘴 // [计算机] 中断
pose |  n. 姿势,姿态,装模作样 // vt. 提出(问题),引起,定格 // vi. 摆姿势,装模作样
provide |  vi. 供给, 提供 // vt. 提供; 规定; 准备
punish |  惩罚, 处罚
raise |  n. 上升, 增高; 高地 // vt. 升起, 举起, 饲养; 提出, 引起
realize |  vt.实现； 了解，意识到； （所担心的事）发生； 以…价格卖出 // vt.& vi.变卖，赚得
remove |  n. 间距, 移动 // vt. 除去,开除, 移动, 取下, 拿走 // vi. 迁徙,离开,搬迁
safeguard |  n. 保卫,保护措施或条款 // v. 保卫,保护
satisfy |  vt. 使...满意, 使...信服 // vi. 足够, 取悦
shoulder |  n. 肩膀, 角度, 交接处 // vt. 肩负,承担,用肩推挤 // vi. 用肩推挤
struggle |  n. 竞争,努力,奋斗 // v. 努力,奋斗,挣扎
widen |  vt. 弄宽
assessment |  n. 估价, 评估
dignity |  n. 尊严, 高贵, 端庄
discrimination |  n. 歧视, 辨别力, 识别
distinction |  n. 区别; 卓越; 殊荣
greed |  n. 贪心, 贪婪
harmony |  n. 和弦,协调,和睦,调和
obesity |  n. 肥胖, 肥大
peer |  vi. 凝视，盯着看；窥视 // vt. 封为贵族；与…同等 // n. 贵族；同等的人
peril |  n. 危险,冒险 // vt. 置...于险境,冒险
prejudice |  n. 偏见,成见,伤害 // v. 使...存偏见,使...有成见,伤害
prospect |  n. 景色, 希望, 展望 // v. 探勘, 寻找
sacrifice |  n. 牺牲,供俸,祭品 // vt. 牺牲,祭祀,贱卖 // vi. 献祭,(棒球)作牺牲一击
subsistence |  n. 生存, 生活
conceivable |  adj. 想得到的, 可想像的, 可能的
congruent |  adj.合适的，一致的，全等的
cornstarch |  n. 玉米淀粉，又称玉米粉或玉蜀黍淀粉
croissant |  n. 牛角包
delectable |  adj. 快乐的, 可喜的, 愉快的，美味的
dingy |  adj. 昏暗的；肮脏的
disreputable |  adj. 声名狼籍的，见不得人的，品格不端的
edible |  n. 食品, 食物 // adj. 可食用的
equivocal |  adj. 意义不明确的, 模棱两可的
exceptional |  adj. 例外的,异常的,特别的
fluff |  n. 软毛, 柔毛, 绒毛
greasy |  adj. 油腻的, 滑溜溜的, 泥泞的
grill |  n. 烤架,铁格子,烤肉 // vt. 烧,烤,严加盘问
haphazard |  adj. 偶然的，随意的，杂乱无章的 // adv. 杂乱地, 任意地
haw |  n.山楂； 吆喝牲畜左转；呃 // v.（使）向左转，支吾
idiosyncrasy |  n. 特质
insipid |  adj. 乏味的, 枯燥的
integral |  adj. 构成整体所必需的,完整的 // n. [数学] 积分, 完整, 部分
invincible |  adj. 不可征服的, 难以制服的
kernel |  n. 核心, 中心, 精髓 // [计算机] 核心
ketchup |  n.蕃茄酱 // =catchup
liquor |  n. 酒
lucrative |  adj. 有利益的,获利的,合算的
majestic |  adj. 宏伟的, 高贵的, 壮丽的
maximize |  v. 取...最大值,最佳化 // [计算机] 最大化
meringue |  n. 蛋白与糖制成的糕饼
nicety |  n. 精确，谨慎，精细，细微的区别
normalize |  v. 使常态化, 使合标准, 使合规格
oatmeal |  n. 燕麦片, 燕麦粥
outstrip |  v. 超过,跑过 // vt. 胜过,超过
palatable |  adj. 美味的, 愉快的
pastry |  n. 面粉糕饼, 馅饼皮
pellet |  n. 小球, 小子弹
pertain |  vi. 从属, 关于
pertinent |  adj. 相关的, 中肯的, 切题的
placid |  adj. 安静的, 平和的
profuse |  adj. 很多的, 丰富的，浪费的
pungent |  adj. 苦痛的,刺激性的,严厉的
rivet |  n. 铆钉 // v. 铆接,固定,钉牢 // v. 集中(目光、注意力)，吸引
sausage |  n. 香肠,腊肠
scrap |  n.  小片,残余物,废料,打架 // vt. 扔弃 // vi. 互相殴打
sporadic |  adj. 不定时发生的, 零星的
stale |  adj. 不新鲜的, 陈腐的, 失效的 // vt. 使腐坏 // vi. 变得不新鲜, 腐坏,(动物)撒尿 // n. (动物的)尿
starchy |  adj. 含淀粉的, 刻板的
straw |  n. 稻草, 麦杆, 吸管 // adj. 用稻草做的, 用来作稻草的, 麦杆色的, 无价值的, 象稻草人的, 非正式民意测验所发现的
variegated |  adj. 杂色的, 斑驳的, 形形色色的，富于变化的 // 动词variegate的过去式和过去分词形式
width |  n. 宽度,广度,某一宽度的材料
survival |  n. 生存,幸存者
torture |  n. 拷问,痛苦 // vt. 拷问,使痛苦,曲解
trait |  n. 特征,特点,特性,品质
vegetation |  n. 植物,草木,(植物)生长
vigor |  n. 活力, 精力
yearn |  v. 渴望, 想念
abundant |  adj. 丰富的,充裕的
advantageous |  adj. 有利的，有助的，有益的
affluent |  adj. 富裕的 // n. 支流；富人
appeal |  n. 恳求, 上诉, 吸引力 // n. 诉诸裁决 // v. 求助, 诉请, 呼吁; 有吸引力
athletic |  adj. 运动的,活跃的,健壮的
bewilder |  vt. 使迷惑，使...不知所措
cognitive |  adj. 认知的,认识的,有认识力的
contagious |  adj. 传染性的,会蔓延的,会传播的
cooperative |  adj. 合作的,共同的 // n. 合作社
depressed |  adj. 沮丧的,降低的 vt. 压低,使沮丧,削弱(depress的过去式及过去分词)
diligent |  adj. 勤奋的, 用功的
disgusting |  adj. 令人厌恶的
distinguished |  adj. 卓著的 // v. 区别 // vbl. 区别
diverse |  adj. 不同的,相异的,多种多样的
ecological |  adj. 生态的, 生态学的
effective |  adj. 有效的,有影响的
embarrassed |  adj. 尴尬的，局促不安的，拮据的
enlightened |  adj. 被启发的, 进步的, 文明的 // 动词enlighten的过去式和过去分词
extravagant |  adj. 奢侈的,浪费的,过度的,大量的
immediate |  adj. 立即的, 即刻的, 直接的, 最接近的
inevitable |  adj. 不可避免的, 必然(发生)的
innovative |  adj. 革新的, 创新的
justifiable |  adj. 可辩解的, 可证明的, 有理的
liberal |  n. 自由主义者, 宽容大度的人, (Liberal)自由党人 // adj. 无偏见的, 慷慨的, 不拘泥的, 宽大的, 开明的
perspire |  v. 出汗, 流汗
avert |  vt. 转开,避免,防止
bolster |  n. 长枕,靠垫 // vt. 支持,鼓励
brunt |  n. 正面的冲击, 主要的压力
bulge |  n. 膨胀,优势,暴增 // vt. 使...膨胀 // vi. 膨胀,充满
bustle |  n. 喧哗，匆忙 // n. (旧时）裙撑，衬垫 // v. 奔忙, 催促
categorize |  vt. 分类
clearance |  n. 清除,解除,森林开拓
clench |  v. 紧握, 紧咬，牢牢地抓住, 确定 // n. 牢牢抓住, 钉紧
coil |  n. 卷,骚动,【电】线圈, 绕组 // vt. &vi. 盘绕,卷
coincidence |  adj. 同时发生的 // n. 巧合
crumple |  v.（使)起皱，(使)崩溃 // n. 压痕，皱痕
crush |  n. 压碎, 拥挤的人群, 迷恋, 关键时刻, 果汁, 榨汁酿酒 // vt. 压破, 征服, 挤入, 镇压 // vi. 被压碎, 挤
dangle |  v. 摇晃 地悬挂着
detract |  vi. 减损  // vt. 转移
devoid |  adj. 全无的, 缺乏的
discredit |  vt. 使...不可信, 怀疑, 损害...的信用 // n. 失信, 怀疑, 不信任
disentangle |  v. 解开, 松开，摆脱，解决（纠纷等）
eddy |  n. 逆流, 漩涡 // v. 起漩涡
embedded |  adj. 植入的, 内含的, 深入的 // v. 埋入, 植入, 深入 // vbl. 埋入, 植入, 深入
excavate |  v. 挖掘, 挖开, 凿通
flick |  n. 快速的轻打,轻打声,轻溅 // vt. 轻弹,轻打,忽然摇动,按开开关 // vi. 轻击,快速翻阅
fringe |  n. 流苏,次要,（地区或群体）边缘,（沿…边缘的）一排（树木、房屋等）vt. 用流苏修饰,镶边
grind |  n. 磨, 碾, 挤摩擦声, 无聊的苦工作 // vt. 磨, 碾, 挤压, 摇动手柄 // vi. 磨擦, 磨碎, 用功
growl |  n. 吠声, 不平, 咆哮声 // v. 怒吠, 咆哮, 吼
grudge |  n. 怨恨,恶意 // vt. 怀恨,嫉妒,吝惜
ignition |  n. 点火,点火器 // n. 【化】灼热 // n. 【机】发火装置
inscribe |  v. 题写，铭刻于，题赠 // （英）登记 // [数] 使内接
intersperse |  v. 散布,点缀 // vt. 散布,散置,点缀
jostle |  v.&amp;n. 推,撞,挤(人) // vt. 推撞
knit |  vt. 编织, 密接, 结合, 皱眉 // vi. 编织, 变得紧凑, 愈合 // n. 编织
lapse |  n. 过失,流逝,失效,抛弃信仰,间隔 // vi. 堕落,停止,失效,流逝 // vt. 使失效
nibble |  n. 轻咬, 啃 // v. 一点点地咬, 慢慢啃，吹毛求疵
overlap |  n. 重叠,重复 // vt. 重叠,重复 // vi. 有重叠部分 // [计算机] 重叠
pinch |  n. 捏, 撮, 困苦, 偷窃 // vt. 掐,使...困苦, 偷窃
prodigious |  adj. 巨大的,奇异的 // n. 奇迹
quiver |  v. 颤抖, 振动 // n. 震动, 颤抖, 箭袋，箭袋内的箭
ramification |  n. 分枝, 分叉, 衍生物, 支流
ramify |  v. (使)分枝, (使)分叉, (使)成网状
relinquish |  v. 放弃,放手,让渡
retrieve |  vt. 挽回,恢复,回忆,补偿 // vi. 找回猎物 // n. 取回,恢复
rinse |  vt. 漱；冲洗掉；漂净 // n. 冲洗；漂洗；[轻] 染发剂；染发 // vi. 冲洗掉；漂净
ruffle |  n. 绉褶, 生气, 褶裥饰边，涟漪 // vt. 弄绉, 给...打褶皱, 扰乱 // vi. 变皱，发脾气
scurry |  vt. 快跑(飞散) // n. 快跑(飞散)
secular |  n. 牧师,凡人 // adj. 世俗的,现世的,不朽的
shamble |  n. 蹒跚, 摇晃的脚步 // vi. 蹒跚地走, 摇摇晃晃地走, 摇晃不稳
shrink |  n. 收缩,萎缩 // vi. 收缩,退缩,萎缩 // vt. 使收缩
skew |  adj. 斜交的(不对称的,误解的) // n. 斜交(歪斜,歪轮,斜砌石) // vt. 歪斜,扭转 // vi. 歪斜,斜视
slouch |  n. 没精打采的样子, 耷拉, 笨人 // v. 没精打采地站, 坐
splash |  n. 飞溅的水, 污点, 卖弄 // v. 溅湿, 溅开
sprint |  vi. 全力奔跑,冲刺 // n. 短距离赛跑，冲刺 // n. 斯普林特(财富500强公司之一, 总部所在地美国, 主要经营电讯)
squat |  n. 蹲 // adj. 蹲着的, 矮胖胖的 // v. 蹲下, 坐
squirt |  v. 喷出,溅迸,注射 // n. 水枪,注射器,喷出
stumble |  n. 绊倒,失策 // vi. 绊倒,失策,踌躇,无意中发现 // vt. 绊倒,困惑
swerve |  v. 突然转向 // n. 转向
tantalize |  vi. 逗惹，吊胃口, 令人可望而不可及 // vt. 使着急
toddle |  vi. （幼儿等）东倒西歪地走, 溜哒, 散步 // n. （幼儿等）东倒西歪的走路, 刚学走步的小孩
vibrate |  vt. (使)振动,(使)摇摆 // vi. 回响，颤动
vindicate |  vt. 维护；证明…无辜；证明…正确
wield |  vt. 行使，运用，支配，挥舞，使用(武器等)
wreathe |  v. 环绕, 盘绕, 作成花圈
nutritious |  adj. 有营养成份的,营养的
offensive |  adj. 令人不快的,侮辱的,攻击用的 // n. 进攻
outright |  adj. 率直的, 完全的, 总共的 // adv. 率直地, 立刻地, 一直向前
outstanding |  adj. 突出的, 显著的, 未支付的
passionate |  adj. 热情的, 易怒的, 激情的
peculiar |  adj. 奇怪的,古怪的,特殊的,独特的 // n. 特权
pessimistic |  adj. 悲观的, 悲观主义的
preceding |  adj. 在前的,在先的
prestigious |  adj. 享有声望的, 声望很高的
innovation |  n. 创新, 革新
exchange |  n. 交换,交换物,汇兑,交易所 // vt. &vi. 交换,交易,兑换
spot |  n. 污点, 地点, 斑点; 职位 // adj. 当场的, 现实买卖的 // v. 使沾上污点, 认出, 用灯光照射
hurricane |  n. 飓风,飓风般猛烈的东西 // adj. 有防风罩的
silicon |  n. 硅
intersection |  n. 交集,十字路口,交叉点 // [计算机] 交集
permanent |  adj. 永久的, 持久的 // n. (口)烫发
result from |  起因于
maneuver |  n. 演习,调遣,策略 // vt. 调遣,演习,巧妙地操纵 // vi. 调遣,演习,用计策
interpretation |  n. 解释,演出,翻译,互動
collision |  n. 碰撞, 冲突
recourse |  n. 依赖, 求助, 追索权
unquote |  n. 引用文结束
dilute |  vt. 冲淡,稀释 // adj. 冲淡的,稀释的,微弱的
computerize |  vt. 用电脑处理, 使电脑化
consolidate |  v. 巩固,联合,统一 // [计算机] 使固定
contemplate |  vt. 注视,沉思,打算
cultural |  adj. 文化的,和养动植物有关的
cybercrime |  n. 网络犯罪
cyberspace |  电脑空间
dehumanize |  v. 使失掉人性, 使成兽性
disseminate |  vt. 散播, 公开, 宣传
exorbitant |  adj. (价格等)过高的，不合法的
foreland |  n. 沿海地区, 海角, 海岸地
hitherto |  adv. 到目前为止, 迄今
muster |  v.集合，收集，鼓起，激起 // n.集合，检阅，集合人员，点名册
procure |  vt. 获得, 取得, 促成 // vi. 拉皮条
puncture |  n.刺伤；小洞；（尤指皮肤上被刺破的）扎孔 // v.在…上扎孔（或穿孔）；（被）刺破；使突然泄气；挫伤（锐气等）
redistribute |  vt. 重新分配, 再区分
rendezvous |  n. 约会, 约会地点, 汇合点 // vi. 汇合, 集合 // vt. 使汇合, 使在汇合地点相遇
shelve |  vt. 放在架子上，搁置 // vi. 倾斜
stagger |  n. 蹒跚,踌躇,摇摆不定 // vi. 蹒跚,犹豫,动摇 // vt. 使摇晃,使吃惊,使犹豫 // vt. 使交错,错开时间
stoop |  n. 佝偻, 屈服 // v. 弯下, 弯下上身, 屈服
strew |  vt. 散播, 撒满
superfluous |  adj. 多余的，过剩的
transcend |  v. 超越
tremor |  n. 震动, 颤动, 战栗，兴奋，地震
underneath |  adv. 在下面 // n. 下部, 底部 // prep. 在...下面
but for |  倘没有, 要不是
deliberately |  adv. 慎重地,故意地
purist |  n. 纯化论者，纯粹主义者
cope with |  vt. 对付(应付,克服)
antidote |  n. 解毒剂, 解药 // n.(喻)矫正方法
prominent |  adj. 杰出的,显著的,突出的
dimension |  n. 尺寸, 次元, 容积, 维度 // n. 范围; 方面 // vt. 标尺寸; 形成...尺寸
resist |  v. 抵抗, 耐得住, 压制 // n. 保护膜
